City Name,Cloudiness,Country,Date,Humidity,Max Temperature,Latitude,Longitude,Wind Speed
Shiyan,100,CN,1556993169,78,60.22,32.65,110.78,2.51
Ponta do Sol,100,BR,1556993171,71,77.5,-20.63,-46.0,3.76
Tigil,34,RU,1556993171,64,32.68,57.8,158.67,7.85
Kapaa,90,US,1556992997,100,69.8,22.08,-159.32,16.11
Punta Arenas,40,CL,1556992993,80,41.0,-53.16,-70.91,6.93
East London,0,ZA,1556989200,77,60.8,-33.02,27.91,9.17
Rikitea,100,PF,1556993175,79,78.04,-23.12,-134.97,18.88
Kaitangata,100,NZ,1556992970,79,54.0,-46.28,169.85,5.01
Zhigansk,94,RU,1556993177,89,31.24,66.77,123.37,19.64
Cape Town,0,ZA,1556992889,67,61.0,-33.93,18.42,17.22
Yarim,0,YE,1556993178,40,76.24,14.3,44.38,2.51
Bluff,0,AU,1556993180,55,56.44,-23.58,149.07,11.97
Kruisfontein,98,ZA,1556993180,81,53.56,-34.0,24.73,0.96
Diego de Almagro,0,CL,1556993181,44,70.66,-26.39,-70.05,7.16
Ushuaia,0,AR,1556989200,71,37.4,-54.81,-68.31,6.93
Las Palmas,75,PE,1556989200,290,62.6,-6.53,-76.35,3.36
Yellowknife,75,CA,1556992971,73,30.0,62.45,-114.38,8.05
Barrow,98,AR,1556993185,60,67.78,-38.31,-60.23,9.71
Tocopilla,85,CL,1556992886,94,62.2,-22.09,-70.2,12.17
Kodiak,40,US,1556993002,34,68.0,39.95,-94.76,5.82
Atuona,25,PF,1556993187,75,83.26,-9.8,-139.03,18.45
Port Elizabeth,90,US,1556993168,83,75.0,39.31,-74.98,2.55
Butaritari,100,KI,1556993188,82,83.08,3.07,172.79,15.05
Wangqing,37,CN,1556993191,53,51.22,43.31,129.76,4.5
Mingaora,0,PK,1556992987,20,53.74,34.78,72.36,13.58
Nikolskoye,0,RU,1556993138,49,46.99,59.7,30.79,6.71
Egvekinot,100,RU,1556993194,93,25.48,66.32,-179.17,7.02
Tiksi,34,RU,1556993195,80,17.92,71.64,128.87,10.69
Iqaluit,75,CA,1556992968,79,28.4,63.75,-68.52,17.22
Omboue,98,GA,1556993198,82,82.18,-1.57,9.26,8.7
North Bend,1,US,1556992890,71,57.0,43.41,-124.22,11.41
Mataura,100,NZ,1556992204,95,53.01,-46.19,168.86,2.73
